Year,HDI,FLPR,Pop Growth
1990,0.368,84.85,3.26
1991,0.369,84.84,3.37
1992,0.367,84.82,3.395
1993,0.367,84.8,3.286
1994,0.366,84.77,3.063
1995,0.367,84.73,2.7890000000000000
1996,0.369,84.71,2.5380000000000000
1997,0.370,84.69,2.373
1998,0.377,84.65,2.332
1999,0.383,84.62,2.408
2000,0.390,84.6,2.541
2001,0.397,84.58,2.667
2002,0.407,85.17,2.761
2003,0.416,85.71,2.813
2004,0.426,86.23,2.825
2005,0.437,86.71,2.82
2006,0.447,87.16,2.82
2007,0.456,86.51,2.833
2008,0.465,85.8,2.8570000000000000
2009,0.474,85.02,2.892
2010,0.481,84.16,2.93
2011,0.487,83.23,2.9620000000000000
2012,0.496,82.2,2.9620000000000000
2013,0.497,81.08,2.9620000000000000
2014,0.504,79.84,3.0010000000000000
2015,0.514,79.85,2.9990000000000000
2016,0.520,79.83,2.995
2017,0.523,79.79,2.986
2018,0.524,79.75,2.97
2019,0.529,79.69,2.949
