Year,FLPR,M or F,Country
1990,64.37,Female,Jamaica
1991,64.73,Female,Jamaica
1992,65.11,Female,Jamaica
1993,65.49,Female,Jamaica
1994,65.85,Female,Jamaica
1995,64.62,Female,Jamaica
1996,63.19,Female,Jamaica
1997,61.55,Female,Jamaica
1998,59.68,Female,Jamaica
1999,58.89,Female,Jamaica
2000,58.09,Female,Jamaica
2001,57.44,Female,Jamaica
2002,56.81,Female,Jamaica
2003,56.21,Female,Jamaica
2004,56.08,Female,Jamaica
2005,56.11,Female,Jamaica
2006,55.99,Female,Jamaica
2007,55.88,Female,Jamaica
2008,55.78,Female,Jamaica
2009,55.68,Female,Jamaica
2010,55.59,Female,Jamaica
2011,55.67,Female,Jamaica
2012,55.73,Female,Jamaica
2013,57.11,Female,Jamaica
2014,56.91,Female,Jamaica
2015,57.35,Female,Jamaica
2016,59.26,Female,Jamaica
2017,60.39,Female,Jamaica
2018,59.54,Female,Jamaica
2019,60.28,Female,Jamaica
1990,78.84,Male,Jamaica
1991,78.44,Male,Jamaica
1992,78.04,Male,Jamaica
1993,77.64,Male,Jamaica
1994,77.19,Male,Jamaica
1995,77.03,Male,Jamaica
1996,76.95,Male,Jamaica
1997,76.82,Male,Jamaica
1998,76.65,Male,Jamaica
1999,76.36,Male,Jamaica
2000,76.02,Male,Jamaica
2001,75.64,Male,Jamaica
2002,75.2,Male,Jamaica
2003,74.71,Male,Jamaica
2004,74.37,Male,Jamaica
2005,73.74,Male,Jamaica
2006,73.21,Male,Jamaica
2007,72.7,Male,Jamaica
2008,72.18,Male,Jamaica
2009,71.64,Male,Jamaica
2010,71.1,Male,Jamaica
2011,70.61,Male,Jamaica
2012,70.12,Male,Jamaica
2013,70.99,Male,Jamaica
2014,71.17,Male,Jamaica
2015,71.52,Male,Jamaica
2016,72.32,Male,Jamaica
2017,72.89,Male,Jamaica
2018,72.33,Male,Jamaica
2019,73.24,Male,Jamaica
1990,32.65,Female,Samoa
1991,32.97,Female,Samoa
1992,33.23,Female,Samoa
1993,33.26,Female,Samoa
1994,33.43,Female,Samoa
1995,33.16,Female,Samoa
1996,33.02,Female,Samoa
1997,33.06,Female,Samoa
1998,33.04,Female,Samoa
1999,33,Female,Samoa
2000,32.82,Female,Samoa
2001,32.64,Female,Samoa
2002,32.53,Female,Samoa
2003,32.39,Female,Samoa
2004,32.22,Female,Samoa
2005,32.03,Female,Samoa
2006,31.9,Female,Samoa
2007,31.68,Female,Samoa
2008,31.56,Female,Samoa
2009,31.57,Female,Samoa
2010,31.49,Female,Samoa
2011,31.47,Female,Samoa
2012,31.64,Female,Samoa
2013,31.72,Female,Samoa
2014,31.76,Female,Samoa
2015,31.68,Female,Samoa
2016,31.46,Female,Samoa
2017,31.36,Female,Samoa
2018,31.3,Female,Samoa
2019,31.12,Female,Samoa
1990,56.25,Male,Samoa
1991,56.95,Male,Samoa
1992,57.43,Male,Samoa
1993,57.46,Male,Samoa
1994,57.84,Male,Samoa
1995,57.43,Male,Samoa
1996,57.39,Male,Samoa
1997,57.8,Male,Samoa
1998,57.97,Male,Samoa
1999,58.01,Male,Samoa
2000,57.59,Male,Samoa
2001,57.28,Male,Samoa
2002,57.17,Male,Samoa
2003,56.98,Male,Samoa
2004,56.67,Male,Samoa
2005,56.32,Male,Samoa
2006,56.18,Male,Samoa
2007,55.64,Male,Samoa
2008,55.52,Male,Samoa
2009,55.9,Male,Samoa
2010,55.82,Male,Samoa
2011,55.65,Male,Samoa
2012,56.22,Male,Samoa
2013,56.48,Male,Samoa
2014,56.67,Male,Samoa
2015,56.5,Male,Samoa
2016,55.83,Male,Samoa
2017,55.74,Male,Samoa
2018,55.9,Male,Samoa
2019,55.51,Male,Samoa
1990,34.04,Female,Turkey
1991,33.94,Female,Turkey
1992,32.51,Female,Turkey
1993,26.6,Female,Turkey
1994,31.07,Female,Turkey
1995,30.75,Female,Turkey
1996,30.38,Female,Turkey
1997,28.6,Female,Turkey
1998,29.04,Female,Turkey
1999,29.77,Female,Turkey
2000,26.29,Female,Turkey
2001,26.84,Female,Turkey
2002,27.55,Female,Turkey
2003,26.21,Female,Turkey
2004,23.38,Female,Turkey
2005,23.3,Female,Turkey
2006,23.05,Female,Turkey
2007,23.11,Female,Turkey
2008,23.99,Female,Turkey
2009,25.48,Female,Turkey
2010,27.03,Female,Turkey
2011,28.32,Female,Turkey
2012,28.87,Female,Turkey
2013,30.09,Female,Turkey
2014,30.23,Female,Turkey
2015,31.45,Female,Turkey
2016,32.47,Female,Turkey
2017,33.53,Female,Turkey
2018,34.08,Female,Turkey
2019,34.27,Female,Turkey
1990,80.79,Male,Turkey
1991,80.13,Male,Turkey
1992,79.59,Male,Turkey
1993,77.88,Male,Turkey
1994,78.27,Male,Turkey
1995,77.46,Male,Turkey
1996,76.88,Male,Turkey
1997,76.1,Male,Turkey
1998,75.96,Male,Turkey
1999,74.93,Male,Turkey
2000,72.62,Male,Turkey
2001,71.65,Male,Turkey
2002,70.22,Male,Turkey
2003,68.91,Male,Turkey
2004,69.89,Male,Turkey
2005,70.12,Male,Turkey
2006,68.39,Male,Turkey
2007,68.39,Male,Turkey
2008,68.92,Male,Turkey
2009,69.1,Male,Turkey
2010,69.64,Male,Turkey
2011,70.51,Male,Turkey
2012,69.79,Male,Turkey
2013,70.36,Male,Turkey
2014,71.18,Male,Turkey
2015,71.63,Male,Turkey
2016,72.07,Male,Turkey
2017,72.58,Male,Turkey
2018,72.75,Male,Turkey
2019,72.16,Male,Turkey
