Year,FLPR,M or F,Country
1990,42.62,Female,Eswatini
1991,42.75,Female,Eswatini
1992,42.83,Female,Eswatini
1993,42.91,Female,Eswatini
1994,43.02,Female,Eswatini
1995,43.18,Female,Eswatini
1996,43.3,Female,Eswatini
1997,43.45,Female,Eswatini
1998,43.62,Female,Eswatini
1999,43.79,Female,Eswatini
2000,43.97,Female,Eswatini
2001,44.16,Female,Eswatini
2002,44.34,Female,Eswatini
2003,44.51,Female,Eswatini
2004,44.66,Female,Eswatini
2005,44.79,Female,Eswatini
2006,44.94,Female,Eswatini
2007,45.07,Female,Eswatini
2008,45.21,Female,Eswatini
2009,45.35,Female,Eswatini
2010,45.49,Female,Eswatini
2011,45.83,Female,Eswatini
2012,46.17,Female,Eswatini
2013,46.51,Female,Eswatini
2014,46.79,Female,Eswatini
2015,46.97,Female,Eswatini
2016,47.54,Female,Eswatini
2017,47.98,Female,Eswatini
2018,48.32,Female,Eswatini
2019,48.61,Female,Eswatini
1990,64.92,Male,Eswatini
1991,64.73,Male,Eswatini
1992,64.62,Male,Eswatini
1993,64.47,Male,Eswatini
1994,64.11,Male,Eswatini
1995,63.39,Male,Eswatini
1996,62.58,Male,Eswatini
1997,61.54,Male,Eswatini
1998,60.39,Male,Eswatini
1999,59.31,Male,Eswatini
2000,58.45,Male,Eswatini
2001,58.35,Male,Eswatini
2002,58.32,Male,Eswatini
2003,58.34,Male,Eswatini
2004,58.25,Male,Eswatini
2005,57.9,Male,Eswatini
2006,57.81,Male,Eswatini
2007,57.71,Male,Eswatini
2008,57.64,Male,Eswatini
2009,57.51,Male,Eswatini
2010,57.27,Male,Eswatini
2011,57.02,Male,Eswatini
2012,56.68,Male,Eswatini
2013,56.42,Male,Eswatini
2014,56.34,Male,Eswatini
2015,56.3,Male,Eswatini
2016,56.24,Male,Eswatini
2017,56.34,Male,Eswatini
2018,56.49,Male,Eswatini
2019,56.56,Male,Eswatini
1990,29.53,Female,Mauritania
1991,29.53,Female,Mauritania
1992,29.54,Female,Mauritania
1993,29.53,Female,Mauritania
1994,29.59,Female,Mauritania
1995,29.57,Female,Mauritania
1996,29.57,Female,Mauritania
1997,29.62,Female,Mauritania
1998,29.64,Female,Mauritania
1999,29.67,Female,Mauritania
2000,29.76,Female,Mauritania
2001,29.49,Female,Mauritania
2002,29.24,Female,Mauritania
2003,29.02,Female,Mauritania
2004,28.81,Female,Mauritania
2005,28.63,Female,Mauritania
2006,28.46,Female,Mauritania
2007,28.32,Female,Mauritania
2008,28.21,Female,Mauritania
2009,28.12,Female,Mauritania
2010,28.05,Female,Mauritania
2011,28,Female,Mauritania
2012,27.98,Female,Mauritania
2013,27.91,Female,Mauritania
2014,27.86,Female,Mauritania
2015,27.82,Female,Mauritania
2016,27.79,Female,Mauritania
2017,27.77,Female,Mauritania
2018,27.94,Female,Mauritania
2019,28.1,Female,Mauritania
1990,73.76,Male,Mauritania
1991,73.78,Male,Mauritania
1992,73.7,Male,Mauritania
1993,73.44,Male,Mauritania
1994,73.39,Male,Mauritania
1995,72.96,Male,Mauritania
1996,72.69,Male,Mauritania
1997,72.71,Male,Mauritania
1998,72.5,Male,Mauritania
1999,72.22,Male,Mauritania
2000,72.12,Male,Mauritania
2001,71.3,Male,Mauritania
2002,70.47,Male,Mauritania
2003,69.64,Male,Mauritania
2004,68.83,Male,Mauritania
2005,68.04,Male,Mauritania
2006,67.24,Male,Mauritania
2007,66.53,Male,Mauritania
2008,65.85,Male,Mauritania
2009,65.18,Male,Mauritania
