Year,Bulgaria,Cyprus,Italy,Jamaica,Samoa,Turkey,Eswatini,Mauritania,Tanzania
1990,0.713,0.834,0.89,0.645,0.617,0.73,0.603,0.574,0.392
1991,0.699,0.832,0.892,0.644,0.611,0.728,0.603,0.574,0.391
1992,0.7,0.841,0.893,0.655,0.604,0.733,0.604,0.574,0.387
1993,0.699,0.839,0.892,0.691,0.61,0.742,0.601,0.578,0.384
1994,0.702,0.844,0.895,0.686,0.545,0.731,0.594,0.569,0.382
1995,0.706,0.847,0.9,0.687,0.555,0.741,0.607,0.579,0.384
1996,0.713,0.846,0.902,0.69,0.571,0.75,0.615,0.59,0.388
1997,0.692,0.847,0.906,0.688,0.571,0.758,0.616,0.579,0.389
1998,0.701,0.867,0.908,0.681,0.574,0.76,0.611,0.58,0.392
1999,0.689,0.859,0.911,0.681,0.578,0.752,0.616,0.582,0.396
2000,0.695,0.862,0.916,0.681,0.587,0.759,0.612,0.571,0.398
2001,0.708,0.868,0.919,0.681,0.599,0.746,0.62,0.563,0.401
2002,0.722,0.876,0.919,0.678,0.591,0.754,0.616,0.567,0.41
2003,0.73,0.879,0.919,0.693,0.598,0.76,0.617,0.573,0.415
2004,0.74,0.882,0.92,0.685,0.604,0.773,0.625,0.575,0.421
2005,0.751,0.888,0.921,0.685,0.61,0.784,0.643,0.583,0.427
2006,0.758,0.892,0.924,0.69,0.61,0.793,0.642,0.598,0.435
2007,0.761,0.895,0.925,0.691,0.618,0.799,0.649,0.591,0.439
2008,0.775,0.904,0.921,0.691,0.617,0.798,0.647,0.588,0.443
2009,0.773,0.899,0.913,0.682,0.616,0.789,0.645,0.586,0.447
2010,0.776,0.896,0.915,0.681,0.62,0.799,0.645,0.582,0.45
2011,0.779,0.899,0.916,0.683,0.618,0.813,0.654,0.581,0.457
2012,0.783,0.886,0.911,0.685,0.611,0.818,0.661,0.582,0.46
2013,0.783,0.876,0.907,0.683,0.611,0.827,0.668,0.585,0.465
2014,0.789,0.872,0.905,0.684,0.613,0.832,0.668,0.585,0.47
2015,0.793,0.881,0.906,0.683,0.624,0.838,0.671,0.591,0.474
2016,0.799,0.885,0.909,0.682,0.628,0.841,0.661,0.59,0.479
2017,0.807,0.892,0.912,0.685,0.626,0.849,0.662,0.591,0.485
2018,0.818,0.895,0.915,0.685,0.622,0.85,0.659,0.591,0.488
2019,0.824,0.898,0.915,0.685,0.626,0.85,0.66,0.595,0.492
