Country,HDI,female work force,Population Growth Rate (%),Education_2019,Income_2019,Life_Expectancy_2019
Albania,0.795,52.47,-0.086,0.746,0.746,0.901
Argentina,0.845,51.34,0.932,0.855,0.809,0.872
Australia,0.944,60.82,1.194,0.924,0.933,0.976
Austria,0.922,55.16,0.643,0.865,0.956,0.947
Bahamas,0.814,70.07,0.977,0.74,0.879,0.83
Bahrain,0.852,45.31,4.042,0.769,0.914,0.881
Barbados,0.814,61.76,0.127,0.782,0.756,0.911
Belarus,0.823,57.64,-0.017,0.838,0.789,0.843
Belgium,0.931,48.95,0.466,0.902,0.945,0.948
Brunei,0.838,56.09,0.984,0.702,0.976,0.859
Bulgaria,0.816,50.41,-0.737,0.779,0.824,0.847
Canada,0.929,61.13,1.112,0.894,0.934,0.96
Chile,0.851,51.8,1.023,0.81,0.823,0.926
Costa Rica,0.81,51.9,-0.619,0.726,0.788,0.927
Croatia,0.851,45.37,-0.051,0.805,0.852,0.9
Cyprus,0.887,58.13,0.203,0.827,0.898,0.938
Czechia,0.9,52.81,3.165,0.89,0.898,0.914
Denmark,0.94,57.88,0.347,0.92,0.963,0.937
Estonia,0.892,57.45,0.137,0.882,0.889,0.904
Finland,0.938,55.73,0.164,0.927,0.934,0.952
France,0.901,50.65,0.217,0.817,0.93,0.964
Georgia,0.812,55.24,-0.172,0.862,0.751,0.827
Germany,0.947,55.64,0.395,0.943,0.954,0.944
Greece,0.888,44.54,-0.474,0.849,0.862,0.958
Hong Kong,0.949,53.65,0.842,0.88,0.974,0.998
Hungary,0.854,48.45,-0.243,0.821,0.868,0.875
Iceland,0.949,70.21,0.669,0.926,0.952,0.969
Ireland,0.955,56.29,1.221,0.922,0.986,0.959
Israel,0.919,59.6,1.609,0.883,0.906,0.969
Italy,0.892,41,-0.137,0.793,0.915,0.977
Japan,0.919,53.56,-0.286,0.851,0.916,0.994
Kazakhstan,0.825,62.75,1.232,0.83,0.821,0.825
Kuwait,0.806,49.78,1.585,0.638,0.963,0.854
Latvia,0.866,55.79,-1.108,0.883,0.863,0.851
Lithuania,0.882,57.26,-1.43,0.898,0.888,0.86
Luxembourg,0.916,54.62,1.767,0.806,0.995,0.958
Malaysia,0.81,51.33,1.312,0.726,0.849,0.864
Malta,0.895,48.37,0.259,0.825,0.903,0.962
Montenegro,0.829,47.8,0.021,0.803,0.811,0.875
Netherlands,0.944,59,0.22,0.914,0.96,0.958
New Zealand,0.931,64.88,0.827,0.926,0.908,0.958
Norway,0.957,60.59,0.774,0.93,0.982,0.96
Panama,0.815,54.86,1.624,0.7,0.859,0.9
Peru,0.777,70.58,1.513,0.74,0.726,0.873
Poland,0.88,48.6,-0.099,0.869,0.87,0.904
Portugal,0.864,54.72,-0.291,0.768,0.88,0.955
Qatar,0.848,56.64,1.755,0.659,1,0.927
Romania,0.828,45.6,-0.693,0.765,0.859,0.862
Russia,0.824,54.58,0.069,0.823,0.841,0.809
Saint Lucia,0.759,68.77,0.476,0.672,0.753,0.865
Serbia,0.806,47.92,-0.373,0.783,0.777,0.862
Singapore,0.938,61.91,0.8,0.844,1,0.979
Slovenia,0.917,53.3,0.026,0.91,0.898,0.943
South Korea,0.916,53.77,0.095,0.865,0.916,0.97
Spain,0.904,52.16,0.066,0.831,0.909,0.978
Sweden,0.945,61.19,0.636,0.918,0.952,0.966
Switzerland,0.955,62.9,0.751,0.9,0.988,0.981
Thailand,0.777,58.79,0.267,0.682,0.783,0.879
United Arab Emirates,0.89,52.05,1.329,0.802,0.984,0.892
United Kingdom,0.932,58.09,0.551,0.928,0.926,0.943
United States,0.926,56.76,0.594,0.9,0.976,0.906
Uruguay,0.817,55.46,0.353,0.765,0.801,0.891
