Year,Bulgaria,Cyprus,Italy,Jamaica,Samoa,Turkey,Eswatini,Mauritania,Tanzania
1990,0.789,0.87,0.876,0.819,0.712,0.681,0.645,0.611,0.465
1991,0.788,0.873,0.879,0.823,0.715,0.689,0.642,0.614,0.461
1992,0.787,0.875,0.883,0.827,0.718,0.697,0.633,0.617,0.458
1993,0.785,0.877,0.886,0.83,0.721,0.705,0.618,0.619,0.454
1994,0.784,0.879,0.89,0.832,0.724,0.714,0.599,0.621,0.452
1995,0.784,0.882,0.894,0.833,0.727,0.723,0.576,0.622,0.451
1996,0.784,0.884,0.898,0.833,0.731,0.732,0.548,0.623,0.451
1997,0.785,0.886,0.903,0.833,0.735,0.741,0.517,0.624,0.454
1998,0.786,0.888,0.907,0.833,0.74,0.751,0.485,0.625,0.459
1999,0.789,0.89,0.912,0.833,0.745,0.76,0.453,0.625,0.465
2000,0.792,0.892,0.916,0.833,0.75,0.769,0.423,0.626,0.474
2001,0.796,0.894,0.921,0.833,0.755,0.778,0.397,0.628,0.484
2002,0.8,0.896,0.925,0.833,0.761,0.786,0.376,0.629,0.495
2003,0.804,0.898,0.93,0.833,0.766,0.793,0.36,0.631,0.506
2004,0.807,0.9,0.934,0.833,0.771,0.8,0.35,0.633,0.517
2005,0.81,0.902,0.938,0.833,0.775,0.807,0.346,0.636,0.528
2006,0.813,0.904,0.941,0.833,0.779,0.813,0.35,0.639,0.54
2007,0.817,0.906,0.945,0.833,0.783,0.819,0.359,0.643,0.553
2008,0.82,0.909,0.948,0.832,0.787,0.825,0.372,0.646,0.566
2009,0.823,0.911,0.951,0.832,0.791,0.832,0.389,0.65,0.579
2010,0.827,0.914,0.953,0.831,0.795,0.839,0.409,0.654,0.594
2011,0.83,0.917,0.956,0.831,0.799,0.845,0.433,0.658,0.608
2012,0.833,0.92,0.958,0.831,0.802,0.852,0.459,0.663,0.623
2013,0.835,0.923,0.961,0.831,0.805,0.858,0.488,0.667,0.637
2014,0.838,0.926,0.964,0.831,0.808,0.864,0.516,0.672,0.651
2015,0.84,0.928,0.967,0.832,0.811,0.87,0.544,0.676,0.663
2016,0.842,0.931,0.969,0.833,0.814,0.875,0.569,0.68,0.675
2017,0.843,0.933,0.972,0.835,0.816,0.879,0.59,0.684,0.684
2018,0.845,0.936,0.975,0.835,0.818,0.884,0.606,0.688,0.693
2019,0.847,0.938,0.977,0.838,0.82,0.888,0.618,0.691,0.699
